id,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
1,8708301000,8708302000,8708303000,8704609090,8704909090,8704609010,8708309000,8704601020,8704529010,8704519010,8704601010,8704439010,8704419010,8714941000,8707901000,8707902000,8707903000,8707904000,8704519090,8704529090
2,106903090,106909000,511991000,511999030,511996000,511999090,511995090,511993090,511992090,102901000,106196010,106195010,511919000,511911090,3101001000,511993010,511993020,102219000,511912000,102909090
3,303899080,303891000,303895090,303893090,303899099,303896000,303821000,303822000,302899090,303898000,303899091,303899050,303892000,303893010,302895000,303894000,303810000,303899092,304894000,303899020
4,8703109000,8703102000,8703321010,8703801000,8703337000,8703317000,8703249010,8703401000,8703501000,8703601000,8703701000,8703329010,8703702000,8703241020,8703502000,8703602000,8703802000,8703329020,8703338000,8703402000
4,7113209000,9111901000,7113201000,7113203000,7113202000,7115901090,7115909090,8708991050,8708991040,8708991010,8708991020,8708991030,8311901000,8311101000,7114200000,8207300000,8708959000,8708999000,8311201000,8462110000
5,9403609090,9403209000,9403700000,9403201000,9403309000,9403100000,9403409000,9403609020,9403509000,9403609010,9403301000,9403601000,9403609030,9403501000,9403401000,9403990000,9403890000,3926300000,9403830000,9403820000
6,8419899010,8419899020,8419899040,8419899030,8419899050,8438101000,8419899090,8438809000,8438109000,8422409010,8419899080,8422404000,8438501000,8422409090,8422902000,8419891000,8422409030,8419899070,8438400000,8431430000
8,7115909090,7115901090,7113209000,7113203000,7113201000,7113202000,7114200000,7115909020,8311101000,7115909010,8311201000,8311901000,7112919000,7112929000,8311109000,7112911000,7112921000,8311909000,8311209000,7112999000
8,8461402000,8461401090,8461401010,8805101090,8805102090,8805109090,8461900000,8805101010,8805102010,8805109010,8460900000,8461300000,6402190000,8461200000,8461500000,6109109000,6109902090,6109903090,6109901090,6109909090
9,8467810000,8467899000,8467891090,8467891010,8467891020,8205510000,8207801000,8207901000,8205599000,8205593000,8467920000,8207709000,8207809000,8205591000,8467910000,8207909000,8207704000,8207701000,8205109000,8207609000
11,810909000,709999000,813409000,805900000,810709000,810100000,810903000,813402000,813401000,810600000,810905000,810500000,2007919000,810400000,2007911000,2001901000,2009892000,2009891090,2005999000,709609000
12,8708991050,8708991040,8708991030,8708991020,8708991010,8708959000,8708999000,8708910000,8708930000,8708951000,8714990000,8704601010,8708100000,8704901010,8704909090,8708400000,8708700000,8708309000,8704609010,8704609090
13,8708991050,8708991040,8708991030,8708991020,8708991010,8708959000,8708999000,8708910000,8708930000,8708951000,8714990000,8704601010,8708100000,8704901010,8704909090,8708400000,8708700000,8708309000,8704609010,8704609090
14,3824992210,3825690000,3824992900,3824992290,3824993990,3824999090,3825610000,3824999051,3824994200,3824995100,3824996300,3824999010,3824996500,3824997200,3824600000,3824999052,3824994300,3824991000,3824997400,3824997300
16,8542900000,8549999000,8542321090,8549399000,8542392000,8542393000,9403990000,8542391000,8542394000,8549392000,8542321030,8549391000,8543901000,8549319000,9403910000,8542332000,8542322000,8542333000,8542323000,8542331000
17,4303101900,4303102990,4203400000,4203101090,4203103090,4203109090,4303101300,4303102100,4303102600,4303101100,4303101600,4303102920,4303101200,4303102200,4203103070,4203103050,4203102000,4203103010,4203101010,4203109010
18,210190000,210209000,210201000,210120000,210110000,210999020,210999090,210991090,210991010,210910000,210930000,208909090,2301101000,204500000,1602509000,208300000,204430000,1602499000,208901000,1602209000
19,1602399000,1602391000,207604290,207603290,1602319000,207552090,8436219000,207604100,207603100,207542090,207442090,207452090,207551000,207603210,207604210,8436211000,207552010,1602311000,8436290000,207541000
20,2206009090,2206002090,2206001090,8462321090,8462322090,2206002030,2206002020,2206002010,2206001010,2206001020,8462322010,8462321010,2403191000,2206009010,2106901020,2403911000,2403110000,2401109000,2403991000,2403199000
21,1602399000,1602391000,1602319000,207604290,207603290,207552090,8436219000,207604100,207603100,207542090,207452090,207442090,207551000,207603210,207604210,1602311000,207552010,8436211000,1602329000,1602321090
22,8807909000,6305900000,8704909090,6305390000,6305200000,6305100000,3006921090,8704901020,6305330000,5308901000,8704901010,6305320000,5308100000,5308909000,8901901000,8807301000,5308200000,8901902000,8807902000,8704909020
23,8438101000,8419899010,8419899020,8419899040,8419899030,8419899050,8438809000,8438109000,8422409010,8438501000,8422404000,8419899090,8431430000,8422409090,8422902000,8419899080,8438400000,8440109000,8422409030,8422409020
24,203299000,304991000,304899000,203210000,207552090,304895000,304840000,304894000,304850000,304891000,304999000,207551000,207552010,304893000,304860000,304892000,204430000,304911000,304921000,204420000
25,7315890000,7315810000,7315200000,7315820000,7315120000,7315110000,2309101000,7315190000,7315900000,2106903029,210690909,2106901090,2106909099,2106903019,1806902920,180690211,2106909030,210690302,2106903021,2309102000
26,9506910000,9506990000,8479109000,8479909010,9506409000,9506403000,9506401000,9506402000,8479102000,9506190000,9506700000,9506110000,8479101000,9506120000,9506399000,9506320000,9506599000,9506290000,9506391000,9506310000
27,210190000,210209000,210120000,210201000,210110000,210999020,210999090,210991090,210991010,210910000,210930000,208909090,208300000,208901000,2301101000,1602499000,204500000,1602509000,208909010,1602319000
28,203299000,304991000,304899000,203210000,207552090,304895000,304840000,304894000,304850000,304891000,304999000,207551000,207552010,304893000,304860000,304892000,204430000,304911000,304921000,204420000
29,203299000,304991000,304899000,203210000,207552090,304895000,304840000,304894000,304850000,304891000,304999000,207551000,207552010,304893000,304860000,304892000,204430000,304911000,304921000,204420000
30,203299000,304991000,304899000,203210000,207552090,304895000,304840000,304894000,304850000,304891000,304999000,207551000,207552010,304893000,304860000,304892000,204430000,304911000,304921000,204420000
31,2202991000,1605592090,1605599090,1605591090,2202992000,1605550000,7320909000,2206009010,160554209,1605542099,1605599010,1605592010,1605591010,1605409000,2106901020,2206009090,2206002090,2206001090,2206002010,2206002030
31,2202992000,2202991000,2202999000,2106901020,2202993000,1605599090,1605591090,1605592090,2202910000,1603001000,1603002000,1603003000,1603004000,8438801000,2202109000,2202101000,1603009000,1601009000,1605550000,7320909000
32,210190000,210209000,210120000,210201000,210110000,210999020,210999090,210991090,210991010,210910000,210930000,208909090,208300000,208901000,2301101000,1602499000,204500000,1602509000,208909010,1602319000
33,303899080,303891000,303895090,303899099,303893090,303896000,302899090,303821000,303822000,303898000,303899091,303899050,303892000,302895000,303893010,303894000,303810000,303899092,302899020,303899020
34,203299000,304991000,304899000,203210000,207552090,304895000,304840000,304894000,304850000,304891000,304999000,207551000,207552010,304893000,304860000,304892000,204430000,304911000,304921000,204420000
35,210190000,210209000,210201000,210120000,210110000,210999020,210999090,210991090,210991010,210910000,210930000,208909090,1602499000,1602509000,1602319000,2301101000,1602209000,1602100000,208300000,1602399000
36,8703601000,8703249010,8703801000,8703321010,8703701000,8703329010,8703337000,8703401000,8703317000,8703501000,8703102000,4011109000,8703502000,8703702000,8703602000,8703338000,8703402000,8703329020,8703321020,8703318000
37,8703109000,8703102000,8707902000,8707901000,8707904000,8707903000,8703900000,8707100000,8704909090,8703602000,8703702000,8703502000,8703402000,8703329020,8703321020,8703318000,8703249020,8703338000,8703241020,8703802000
38,8703109000,8703102000,8707902000,8707901000,8707904000,8707903000,8703900000,8707100000,8704909090,8703602000,8703702000,8703502000,8703402000,8703329020,8703321020,8703318000,8703249020,8703338000,8703241020,8703802000
39,9031809010,9030396000,9030400000,9030331000,9030332000,9030391000,9030392000,9030334000,9030394000,9030820000,9030333000,9030393000,9030339000,9030399000,9031809060,9031809020,9030320000,9030310000,9030100000,9030890000
40,9018908900,9018908190,9018902090,9018501090,9018501010,9018902010,9018908110,9018509000,9018909000,9018907000,9018903000,9018901000,9018492000,9018491000,9018419000,9018498000,9018906000,9018499000,9018411000,9018209000
41,3006922090,3006923000,3006924000,3006925000,3006922031,3006922032,300692203,3006922020,3006921090,3006922010,3824992210,9705290000,3006600000,9705210000,9705220000,382499905,3824998000,2939801010,3824999040,2936220000
41,3006922090,3006924000,3006923000,3006925000,3006922031,3006922032,300692203,3006922020,3006921090,9705290000,9705210000,3824992210,9705220000,2941901000,2939801010,3006922010,2941201000,382499905,3824998000,3006600000
42,8467810000,8467891090,8467899000,8203300000,8205510000,8467891010,8467891020,8207801000,8203100000,8205599000,8207703000,8207901000,8207704000,8205593000,8207709000,8207809000,8207909000,8205591000,8207701000,8203209000
43,3006922090,3006924000,3006923000,3006925000,3006922031,3006922032,300692203,3006922020,3006922010,3006921090,3403991000,3403992000,3403999000,3402502000,3006600000,3403911000,3403912000,3403919000,3402501000,3304209000
44,8471499000,8471491090,8471419000,8471809000,8471491020,8471491010,8471412000,8471411000,8471801000,8471802000,8471900000,8471300000,8471702039,8471709000,8471702090,8471702020,8471702031,847170203,8471702033,8471702032
45,4016100000,4016992000,4016999000,4016959000,4016991090,4008199000,4008299000,4016953000,4016952000,4016920000,4008191000,4008291000,3812109000,4016951000,4014909000,3812200000,3812102000,3812101000,4008119000,4008219000
46,3006922090,3006924000,3006923000,3006925000,3006922031,3006922032,300692203,3006922020,3006922010,3006921090,3403991000,3403992000,3403999000,3402502000,3006600000,3403911000,3403912000,3403919000,3402501000,3304209000
47,8523802010,8523592010,8523499010,8523491010,8523292010,8523512010,8473303000,8473309010,8604009000,8604004000,9027100000,9616200000,9027909091,9027891000,2918991000,2918301000,9102299000,9102291000,3821000000,2101129090
48,8802602000,8802601090,8428702000,8802603000,8802601010,8427103000,8807902000,8802119000,8802129000,9306900000,9306290000,8802409000,8802209000,8802111000,8802121000,9306309000,9306210000,8802403000,8802203000,8802401000
49,8406100000,8406909000,8406901000,8411811000,8411821000,8411819090,8411829090,8411819010,8411829010,8406820000,8406813000,8410901010,8410909010,8410111000,8406811000,8406812000,8410130000,8410120000,8411991000,8411911000
50,8414599000,8414591000,8414592000,8414901000,8414519000,8414511000,8414909020,8414909090,8414809900,8414809190,8414200000,8414809110,8414909010,8414400000,8414809230,8414809210,8414109090,8414109010,8414101000,8414301000
51,3824992210,2935904000,2931901000,2930902000,2926903000,2933921000,2933999010,2932999010,2932209091,2833251000,2930201010,2930202010,2934994000,2939801010,2941901000,3808921000,3808911000,2919901010,2918991000,2918301000
52,8419899010,8419899020,8419899040,8419899030,8419899050,8438101000,8419899090,8438809000,8438109000,8422409010,8419899080,8422404000,8438501000,8422409090,8422902000,8419891000,8422409030,8419899070,8438400000,8431430000
52,5702490000,5702390000,5702990000,5702920000,5702320000,5702420000,8457200000,5702310000,5702410000,5702910000,9403890000,6805300000,9403830000,9406909000,9403820000,4602199000,9406100000,8546100000,6213900000,4602120000
52,8419899050,8419899010,8419899020,8419899030,8419899040,8438101000,8419899090,8438809000,8419899080,8438109000,8438501000,8419891000,8419899070,8422409010,8438400000,8422404000,8419899060,8419810000,8438300000,8422409090
