id,DEC_processed
101211000,live horse ass mule hinny horse purebred breeding animal farm breeding
101219000,live horse ass mule hinny horse purebred breeding animal
101291000,live horse ass mule hinny horse horse racing
101299000,live horse ass mule hinny horse
101300000,live horse ass mule hinny ass ass
101900000,live horse ass mule hinny
102211000,live bovine animal cattle purebred breeding animal milk
102212000,live bovine animal cattle purebred breeding animal meat
102219000,live bovine animal cattle purebred breeding animal
102291000,live bovine animal cattle milk
102292000,live bovine animal cattle meat
102299000,live bovine animal cattle
102310000,live bovine animal buffalo buffalo purebred breeding animal
102391000,live bovine animal buffalo milk
102392000,live bovine animal buffalo meat
102399000,live bovine animal buffalo
102901000,live bovine animal purebred breeding animal
102909010,live bovine animal milk
102909020,live bovine animal meat
102909090,live bovine animal
103100000,live swine purebred breeding animal
103910000,live swine weighing le kg
103920000,live swine weighing kg
104101000,live sheep goat sheep purebred breeding animal
104109000,live sheep goat sheep
104201000,live sheep goat goat milk goat
104209000,live sheep goat goat
105111000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl weighing g fowl specie gallus domesticu purebred breeding animal
105119000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl weighing g fowl specie gallus domesticu
105120000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl weighing g turkey turkey
105131000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl weighing g duck purebred breeding animal
105139000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl weighing g
105140000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl weighing g goose goose
105150000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl weighing g guinea fowl guinea fowl
105941000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl fowl specie gallus domesticus purebred breeding animal
105949000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl fowl specie gallus domesticus
105991010,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl duck purebred breeding animal
105991090,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl duck
105992000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl turkey turkey
105999000,live poultry say fowl specie gallus domesticus duck goose turkey guinea fowl
106110000,live animal mammal mammal primate
106121000,live animal mammal whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia
106122000,live animal mammal whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia seal sea lion walrus mammal suborder pinnipedia
106130000,live animal mammal mammal camel camelids camelidae
106141000,live animal mammal rabbit hare purebred breeding animal
106149000,live animal mammal rabbit hare
106191000,live animal mammal dog
106193000,live animal mammal deer
106194000,live animal mammal bear
106195010,live animal mammal purebred breeding animal
106195090,live animal mammal
106196010,live animal mammal purebred breeding animal
106196090,live animal mammal
106199000,live animal mammal
106201000,live animal reptile including snake turtle snake
106202000,live animal reptile including snake turtle freshwater tortoise
106203000,live animal reptile including snake turtle turtle
106209000,live animal reptile including snake turtle
106310000,live animal bird bird bird prey
106320000,live animal bird bird psittaciformes including parrot parakeet macaw cockatoo
106330000,live animal bird bird ostrich emu dromaius novaehollandiae
106390000,live animal bird bird
106410000,live animal insect insect bee
106490000,live animal insect insect
106901000,live animal amphibia
106903010,live animal lug worm
106903020,live animal sludge worm
106903090,live animal
106909000,live animal
201100000,meat bovine animal fresh chilled carcass halfcarcasses carcass halfcarcasses
201201000,meat bovine animal fresh chilled cut bone short rib
201209000,meat bovine animal fresh chilled cut bone
201300000,meat bovine animal fresh chilled boneless boneless
202100000,meat bovine animal frozen carcass halfcarcasses
202201000,meat bovine animal frozen cut bone short rib
202209000,meat bovine animal frozen cut bone
202300000,meat bovine animal frozen boneless
203110000,meat swine fresh chilled frozen fresh chilled fresh chilled carcass halfcarcasses
203120000,meat swine fresh chilled frozen fresh chilled fresh chilled ham shoulder cut thereof bone
203191000,meat swine fresh chilled frozen fresh chilled fresh chilled streaky pork
203199000,meat swine fresh chilled frozen fresh chilled fresh chilled
203210000,meat swine fresh chilled frozen frozen frozen carcass halfcarcasses
203220000,meat swine fresh chilled frozen frozen frozen ham shoulder cut thereof bone
203291000,meat swine fresh chilled frozen frozen streaky pork
203299000,meat swine fresh chilled frozen frozen
204100000,meat sheep goat fresh chilled frozen carcass halfcarcasses lamb fresh chilled
204210000,meat sheep goat fresh chilled frozen meat sheep fresh chilled meat sheep fresh chilled carcass halfcarcasses
204220000,meat sheep goat fresh chilled frozen meat sheep fresh chilled meat sheep fresh chilled cut bone
204230000,meat sheep goat fresh chilled frozen meat sheep fresh chilled meat sheep fresh chilled boneless
204300000,meat sheep goat fresh chilled frozen carcass halfcarcasses lamb frozen
204410000,meat sheep goat fresh chilled frozen meat sheep frozen meat sheep frozen carcass halfcarcasses
204420000,meat sheep goat fresh chilled frozen meat sheep frozen meat sheep frozen cut bone
204430000,meat sheep goat fresh chilled frozen meat sheep frozen meat sheep frozen boneless
204500000,meat sheep goat fresh chilled frozen meat goat
205000000,meat horse ass mule hinny fresh chilled frozen meat horse ass mule hinny fresh chilled frozen
206100000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen bovine animal fresh chilled
206210000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen bovine animal frozen bovine animal frozen tongue
206220000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen bovine animal frozen bovine animal frozen liver
206291000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen bovine animal frozen bovine animal frozen tail
206292000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen bovine animal frozen bovine animal frozen foot
206299000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen bovine animal frozen bovine animal frozen
206300000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen swine fresh chilled
206410000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen swine frozen swine frozen liver
206491000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen swine frozen swine frozen foot
206499000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen swine frozen swine frozen
206800000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen fresh chilled
206900000,edible offal bovine animal swine sheep goat horse ass mule hinny fresh chilled frozen frozen
207110000,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus fowl specie gallus domesticus cut piece fresh chilled
207120000,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus fowl specie gallus domesticus cut piece frozen
207131000,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal fresh chilled cut
207132010,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal fresh chilled liver
207132090,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal fresh chilled
207141010,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal frozen leg
207141020,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal frozen breast
207141030,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal frozen wing
207141090,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal frozen
207142010,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal frozen liver
207142090,meat edible offal poultry heading fresh chilled frozen fowl specie gallus domesticus cut offal frozen
207240000,meat edible offal poultry heading fresh chilled frozen turkey turkey cut piece fresh chilled
207250000,meat edible offal poultry heading fresh chilled frozen turkey turkey cut piece frozen
207261000,meat edible offal poultry heading fresh chilled frozen turkey cut offal fresh chilled cut
207262010,meat edible offal poultry heading fresh chilled frozen turkey cut offal fresh chilled liver
207262090,meat edible offal poultry heading fresh chilled frozen turkey cut offal fresh chilled
207271000,meat edible offal poultry heading fresh chilled frozen turkey cut offal frozen cut
207272010,meat edible offal poultry heading fresh chilled frozen turkey cut offal frozen liver
207272090,meat edible offal poultry heading fresh chilled frozen turkey cut offal frozen
207410000,meat edible offal poultry heading fresh chilled frozen duck duck cut piece fresh chilled
207420000,meat edible offal poultry heading fresh chilled frozen duck duck cut piece frozen
207430000,meat edible offal poultry heading fresh chilled frozen duck duck fatty liver fresh chilled
207441000,meat edible offal poultry heading fresh chilled frozen duck duck cut
207442010,meat edible offal poultry heading fresh chilled frozen duck duck liver
207442090,meat edible offal poultry heading fresh chilled frozen duck duck
207451000,meat edible offal poultry heading fresh chilled frozen duck duck cut
207452010,meat edible offal poultry heading fresh chilled frozen duck duck liver
207452090,meat edible offal poultry heading fresh chilled frozen duck duck
207510000,meat edible offal poultry heading fresh chilled frozen goose goose cut piece fresh chilled
207520000,meat edible offal poultry heading fresh chilled frozen goose goose cut piece frozen
207530000,meat edible offal poultry heading fresh chilled frozen goose goose fatty liver fresh chilled
207541000,meat edible offal poultry heading fresh chilled frozen goose fresh chilled cut
207542010,meat edible offal poultry heading fresh chilled frozen goose fresh chilled liver
207542090,meat edible offal poultry heading fresh chilled frozen goose fresh chilled
207551000,meat edible offal poultry heading fresh chilled frozen goose frozen cut
207552010,meat edible offal poultry heading fresh chilled frozen goose frozen liver
207552090,meat edible offal poultry heading fresh chilled frozen goose frozen
207601000,meat edible offal poultry heading fresh chilled frozen guinea fowl cut piece fresh chilled
207602000,meat edible offal poultry heading fresh chilled frozen guinea fowl cut piece frozen
207603100,meat edible offal poultry heading fresh chilled frozen guinea fowl cut
207603210,meat edible offal poultry heading fresh chilled frozen guinea fowl liver
207603290,meat edible offal poultry heading fresh chilled frozen guinea fowl
207604100,meat edible offal poultry heading fresh chilled frozen guinea fowl cut
207604210,meat edible offal poultry heading fresh chilled frozen guinea fowl liver
207604290,meat edible offal poultry heading fresh chilled frozen guinea fowl
208100000,meat edible meat offal fresh chilled froze rabbit hare
208300000,meat edible meat offal fresh chilled froze primate
208401000,meat edible meat offal fresh chilled froze whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia
208402000,meat edible meat offal fresh chilled froze whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia seal sea lion walrus mammal suborder pinnipedia
208500000,meat edible meat offal fresh chilled froze reptile including snake turtle
208600000,meat edible meat offal fresh chilled froze camel camelids camelidae
208901000,meat edible meat offal fresh chilled froze deer
208909010,meat edible meat offal fresh chilled froze marine animal
208909090,meat edible meat offal fresh chilled froze
209100000,pig fat free lean meat poultry fat rendered otherwise extracted fresh chilled frozen salted brine dried smoked pig
209900000,pig fat free lean meat poultry fat rendered otherwise extracted fresh chilled frozen salted brine dried smoked
210110000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal meat swine meat swine ham shoulder cut thereof bone
210120000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal meat swine meat swine belly streaky cut thereof
210190000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal meat swine meat swine
210201000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal meat bovine animal meat bovine animal dried smoked
210209000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal meat bovine animal meat bovine animal
210910000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal including edible flour meal meat meat offal primate
210921000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia
210922000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia seal sea lion walrus mammal suborder pinnipedia
210930000,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal including edible flour meal meat meat offal reptile including snake turtle
210991010,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal bovine animal
210991090,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal
210999020,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal poultry
210999090,meat edible meat offal salted brine dried smoked edible flour meal meat meat offal including edible flour meal meat meat offal
301111000,live fish ornamental fish freshwater fancy carp
301119000,live fish ornamental fish freshwater
301190000,live fish ornamental fish ornamental fish
301910000,live fish trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache oncorhynchus chrysogaster
301921000,live fish eel anguilla spp glass eelsnot exceeding g per unit aquaculture
